#{"t_start": 1674041693.2879937, "env_id": null}
r,l,t
-0.9,100,0.630948
1.937,7,0.664337
1.811,21,0.761701
1.901,11,0.813615
1.865,15,0.883726
1.955,5,0.908353
1.901,11,0.960228
1.865,15,1.030524
-0.9,100,1.496871
1.856,16,1.571844
-0.9,100,2.030148
1.883,13,2.091525
1.964,4,2.111512
1.937,7,2.144954
1.946,6,2.173888
1.964,4,2.193501
1.91,10,2.240861
1.955,5,2.265243
1.937,7,2.298677
1.964,4,2.318271
1.928,8,2.356326
1.946,6,2.385511
1.946,6,2.414905
1.883,13,2.476838
1.937,7,2.51077
1.919,9,2.553941
1.919,9,2.598101
1.946,6,2.627641
1.946,6,2.658149
1.937,7,2.692516
-0.9,100,3.151178
-0.9,100,3.607162
-0.9,100,4.0726
1.91,10,4.119996
1.892,12,4.176637
1.892,12,4.233533
1.937,7,4.266906
1.919,9,4.309612
-0.9,100,4.766064
1.937,7,4.799582
1.946,6,4.828449
-0.9,100,5.294616
1.937,7,5.328174
1.928,8,5.366189
1.946,6,5.395141
1.928,8,5.433296
1.937,7,5.466771
1.955,5,5.49132
1.946,6,5.520077
1.964,4,5.539812
1.91,10,5.586879
1.955,5,5.611265
1.946,6,5.640174
1.91,10,5.687328
1.874,14,5.752801
1.883,13,5.813749
1.874,14,5.879062
1.919,9,5.921752
1.883,13,5.982877
1.865,15,6.052964
1.919,9,6.095625
1.928,8,6.133602
1.928,8,6.171501
1.937,7,6.206058
1.964,4,6.225998
1.937,7,6.260126
1.91,10,6.307943
1.946,6,6.338001
1.955,5,6.362958
1.928,8,6.401889
1.703,33,6.558489
1.937,7,6.591993
1.901,11,6.643675
1.883,13,6.704607
1.901,11,6.756308
1.91,10,6.803983
1.874,14,6.870279
-0.9,100,7.330013
1.919,9,7.372446
1.883,13,7.433548
1.901,11,7.486523
1.874,14,7.553056
-0.9,100,8.020251
1.919,9,8.062832
1.892,12,8.119292
1.802,22,8.221272
1.847,17,8.300566
1.694,34,8.461473
1.883,13,8.523476
1.928,8,8.562053
1.892,12,8.618299
1.892,12,8.674816
1.919,9,8.718501
1.829,19,8.8082
1.874,14,8.875734
1.91,10,8.924517
1.919,9,8.968744
1.946,6,8.998074
1.928,8,9.036531
1.919,9,9.079208
1.811,21,9.17655
1.937,7,9.210033
1.964,4,9.229749
1.928,8,9.267828
1.91,10,9.314951
1.937,7,9.348282
1.937,7,9.381653
1.919,9,9.424188
-0.9,100,9.879743
1.721,31,10.025065
1.955,5,10.049962
1.919,9,10.092948
-0.9,100,10.556003
1.946,6,10.585304
1.946,6,10.614199
1.937,7,10.647633
1.919,9,10.690267
1.937,7,10.723681
1.955,5,10.748013
1.928,8,10.786141
-0.9,100,11.243747
1.802,22,11.349089
1.892,12,11.407374
1.892,12,11.466477
1.883,13,11.531295
1.874,14,11.597325
1.919,9,11.639732
1.739,29,11.774413
1.937,7,11.807854
1.901,11,11.859619
1.865,15,11.929491
1.901,11,11.981102
1.847,17,12.060456
1.955,5,12.084638
1.955,5,12.109689
1.919,9,12.15253
1.919,9,12.195057
1.928,8,12.233432
1.919,9,12.275993
1.937,7,12.309438
1.91,10,12.356512
1.901,11,12.408034
1.874,14,12.473909
1.847,17,12.554911
-0.9,100,13.021868
1.883,13,13.082833
1.856,16,13.157592
1.919,9,13.200119
-0.9,100,13.657021
1.874,14,13.722903
1.847,17,13.803051
1.883,13,13.864869
1.919,9,13.909269
1.865,15,13.980879
1.91,10,14.029311
1.865,15,14.100119
1.937,7,14.13353
-0.9,100,14.59006
1.946,6,14.618905
1.964,4,14.638527
1.946,6,14.667339
1.964,4,14.686993
-0.9,100,15.145756
1.838,18,15.232561
1.937,7,15.266706
1.946,6,15.296189
1.91,10,15.343805
1.946,6,15.372697
-0.9,100,15.830952
1.883,13,15.891603
1.847,17,15.970796
1.892,12,16.027242
1.847,17,16.106102
1.892,12,16.162482
1.91,10,16.209559
-0.9,100,16.678061
1.928,8,16.716561
1.901,11,16.768414
1.901,11,16.820211
1.892,12,16.876441
1.883,13,16.937279
1.901,11,16.989044
1.919,9,17.031862
1.901,11,17.083499
-0.9,100,17.54301
-0.9,100,18.005501
1.901,11,18.057361
1.928,8,18.095393
1.883,13,18.156295
1.856,16,18.231048
1.91,10,18.278291
1.919,9,18.321054
1.955,5,18.345395
1.955,5,18.369734
-0.9,100,18.828592
1.928,8,18.867309
1.91,10,18.915739
1.928,8,18.95474
-0.9,100,19.415409
1.91,10,19.462566
1.928,8,19.500629
1.919,9,19.543198
1.919,9,19.586006
1.946,6,19.61487
1.946,6,19.643799
1.928,8,19.681818
1.937,7,19.715265
1.955,5,19.739567
-0.9,100,20.200047
1.919,9,20.24478
-0.9,100,20.70261
-0.9,100,21.156927
1.883,13,21.217889
1.856,16,21.293581
1.811,21,21.392429
1.874,14,21.460025
1.865,15,21.532939
1.838,18,21.617826
1.883,13,21.678691
1.892,12,21.734975
1.892,12,21.791607
1.874,14,21.857043
1.919,9,21.899611
1.946,6,21.928537
1.964,4,21.948163
-0.9,100,22.404183
1.964,4,22.423834
1.937,7,22.457246
1.919,9,22.499752
-0.9,100,22.962785
1.883,13,23.024173
-0.9,100,23.485851
1.82,20,23.578857
1.865,15,23.648929
-0.9,100,24.113956
1.919,9,24.156508
1.919,9,24.199138
1.928,8,24.237175
1.955,5,24.261471
1.919,9,24.304129
1.847,17,24.383291
1.73,30,24.522003
-0.9,100,24.975885
1.892,12,25.032723
-0.9,100,25.496279
1.901,11,25.548179
1.874,14,25.613704
1.892,12,25.670051
1.883,13,25.731585
1.883,13,25.792516
-0.9,100,26.251308
1.919,9,26.294708
1.937,7,26.328505
1.901,11,26.381365
1.901,11,26.434663
1.919,9,26.478422
1.838,18,26.565964
1.946,6,26.595688
1.874,14,26.661762
1.928,8,26.69996
1.874,14,26.765409
1.874,14,26.831559
1.919,9,26.874441
1.838,18,26.958277
1.865,15,27.030566
1.865,15,27.100418
-0.9,100,27.559478
-0.9,100,28.02441
1.892,12,28.080879
1.865,15,28.150982
1.892,12,28.207454
1.919,9,28.249977
1.802,22,28.352064
1.901,11,28.404232
-0.9,100,28.860572
1.928,8,28.899201
1.901,11,28.952279
1.91,10,29.000587
1.874,14,29.068461
1.901,11,29.121
1.892,12,29.177719
-0.9,100,29.634226
-0.9,100,30.08902
1.838,18,30.174317
1.937,7,30.208893
1.937,7,30.243086
1.883,13,30.307218
1.937,7,30.341341
1.856,16,30.416443
1.919,9,30.458928
1.865,15,30.528984
1.847,17,30.608063
1.91,10,30.655336
1.865,15,30.725258
1.883,13,30.786011
-0.9,100,31.247113
1.937,7,31.280468
1.892,12,31.338185
1.91,10,31.386081
1.937,7,31.420251
1.901,11,31.473568
-0.9,100,31.934057
1.919,9,31.976893
1.883,13,32.037918
1.901,11,32.089616
1.901,11,32.142515
1.91,10,32.189744
1.883,13,32.250646
1.883,13,32.311589
1.883,13,32.372389
1.874,14,32.437838
1.919,9,32.480403
1.919,9,32.522959
1.928,8,32.561524
1.946,6,32.590907
1.937,7,32.624672
1.955,5,32.649346
1.928,8,32.688248
1.901,11,32.74168
1.91,10,32.790579
-0.9,100,33.25041
-0.9,100,33.706373
-0.9,100,34.173074
1.874,14,34.238574
-0.9,100,34.696225
1.964,4,34.715874
1.955,5,34.740183
1.946,6,34.771312
1.91,10,34.818577
1.946,6,34.847458
-0.9,100,35.309503
-0.9,100,35.769866
1.919,9,35.812449
-0.9,100,36.268492
1.946,6,36.297391
1.946,6,36.326651
1.91,10,36.374635
1.91,10,36.423007
1.892,12,36.481332
1.91,10,36.529776
1.847,17,36.611983
1.874,14,36.679003
1.919,9,36.721803
1.856,16,36.796376
1.901,11,36.848304
1.883,13,36.909317
1.901,11,36.961168
1.883,13,37.022243
-0.9,100,37.48048
1.883,13,37.541439
1.874,14,37.60798
1.874,14,37.674657
1.865,15,37.746952
1.883,13,37.80959
1.937,7,37.845036
1.883,13,37.907281
1.901,11,37.959578
1.883,13,38.020519
1.883,13,38.081699
1.928,8,38.119718
1.928,8,38.157374
1.937,7,38.190628
1.928,8,38.228495
1.91,10,38.275654
1.946,6,38.304319
1.901,11,38.355726
1.802,22,38.457469
1.901,11,38.508836
1.847,17,38.587501
1.91,10,38.634543
1.901,11,38.687927
-0.9,100,39.156427
1.928,8,39.195069
1.766,26,39.315525
1.919,9,39.357913
1.946,6,39.386603
1.946,6,39.415223
1.955,5,39.439378
1.928,8,39.47726
1.955,5,39.501421
1.955,5,39.525373
1.928,8,39.563221
1.865,15,39.632832
1.919,9,39.675111
1.919,9,39.717644
