#{"t_start": 1674047624.6019158, "env_id": null}
r,l,t
-0.9,100,0.602139
1.937,7,0.634843
1.811,21,0.730091
1.901,11,0.780701
1.865,15,0.849661
1.955,5,0.873661
1.901,11,0.924413
1.865,15,0.993018
-0.9,100,1.447675
1.856,16,1.520911
-0.9,100,1.968684
1.883,13,2.028028
1.964,4,2.047326
1.937,7,2.079956
1.946,6,2.108276
1.964,4,2.127464
1.91,10,2.173717
1.955,5,2.19768
1.937,7,2.230266
1.964,4,2.249524
1.928,8,2.286597
1.946,6,2.314923
1.946,6,2.343221
1.883,13,2.403919
1.937,7,2.436916
1.919,9,2.47906
1.919,9,2.521588
1.946,6,2.550527
1.946,6,2.579627
1.937,7,2.613855
-0.9,100,3.063497
-0.9,100,3.511572
-0.9,100,3.964941
1.91,10,4.011184
1.892,12,4.066195
1.892,12,4.12121
1.937,7,4.15398
1.919,9,4.195684
-0.9,100,4.642105
1.937,7,4.674908
1.946,6,4.70379
-0.9,100,5.158249
1.937,7,5.191763
1.928,8,5.229039
1.946,6,5.258049
1.928,8,5.295188
1.937,7,5.32801
1.955,5,5.351884
1.946,6,5.380003
1.964,4,5.39922
1.91,10,5.445289
1.955,5,5.469159
1.946,6,5.497411
1.91,10,5.543714
1.874,14,5.607933
1.883,13,5.667501
1.874,14,5.731539
1.919,9,5.773185
-0.9,100,6.222587
1.865,15,6.292877
1.919,9,6.335701
1.928,8,6.374727
1.928,8,6.412627
1.937,7,6.44584
1.964,4,6.46617
1.937,7,6.498998
1.91,10,6.544958
1.946,6,6.573303
1.955,5,6.597125
1.928,8,6.634508
1.703,33,6.783843
1.937,7,6.81661
1.901,11,6.867124
1.883,13,6.926722
1.901,11,6.977193
1.91,10,7.023362
1.874,14,7.087453
-0.9,100,7.538686
1.919,9,7.580959
1.883,13,7.642684
1.901,11,7.694208
1.874,14,7.75889
-0.9,100,8.205415
1.919,9,8.246932
1.892,12,8.301981
1.802,22,8.401822
1.847,17,8.479187
1.694,34,8.6338
1.883,13,8.694232
1.928,8,8.732242
1.892,12,8.788368
1.892,12,8.84472
1.919,9,8.888435
1.829,19,8.976233
1.874,14,9.04033
1.91,10,9.086608
1.919,9,9.128401
1.946,6,9.1565
1.928,8,9.193709
1.919,9,9.235442
1.811,21,9.330684
1.937,7,9.363519
1.964,4,9.38275
1.928,8,9.419938
1.91,10,9.466083
1.937,7,9.498801
1.937,7,9.53161
1.919,9,9.573334
-0.9,100,10.027165
1.739,29,10.16344
1.955,5,10.187842
1.919,9,10.229826
-0.9,100,10.677726
1.946,6,10.706221
1.946,6,10.734529
1.937,7,10.767316
1.919,9,10.80896
1.937,7,10.841789
1.955,5,10.865617
1.928,8,10.902852
-0.9,100,11.353465
1.802,22,11.457099
1.892,12,11.512715
1.892,12,11.567999
1.883,13,11.627781
1.874,14,11.692003
1.919,9,11.733676
1.739,29,11.865134
1.937,7,11.897904
1.901,11,11.948744
1.865,15,12.017192
1.91,10,12.063342
1.847,17,12.140847
1.955,5,12.16449
1.955,5,12.188309
1.919,9,12.230062
1.919,9,12.271769
1.928,8,12.308958
1.919,9,12.350658
1.937,7,12.38342
1.91,10,12.430436
-0.9,100,12.884292
1.874,14,12.949635
1.847,17,13.02718
-0.9,100,13.476799
1.883,13,13.536326
1.856,16,13.609254
1.919,9,13.651474
-0.9,100,14.105036
1.874,14,14.169131
1.847,17,14.246331
1.883,13,14.305676
1.919,9,14.347348
1.865,15,14.415637
1.91,10,14.461714
1.865,15,14.530085
1.937,7,14.562808
-0.9,100,15.011105
1.946,6,15.03979
1.964,4,15.059968
1.946,6,15.088919
1.964,4,15.108514
-0.9,100,15.560708
1.838,18,15.64282
1.937,7,15.675618
1.946,6,15.704105
1.91,10,15.750204
1.946,6,15.7784
1.82,20,15.86901
1.883,13,15.928475
1.847,17,16.006127
1.892,12,16.061344
1.847,17,16.138754
1.892,12,16.194889
1.91,10,16.241437
-0.9,100,16.696299
1.928,8,16.733623
1.901,11,16.78415
1.901,11,16.838761
1.892,12,16.89584
1.883,13,16.957185
1.901,11,17.008686
1.919,9,17.050458
1.901,11,17.101057
-0.9,100,17.551022
-0.9,100,18.002735
1.901,11,18.053623
1.928,8,18.090905
1.883,13,18.150432
1.856,16,18.223595
1.91,10,18.269823
1.919,9,18.311723
1.955,5,18.335535
1.955,5,18.359398
-0.9,100,18.808629
1.928,8,18.847306
1.901,11,18.898799
1.928,8,18.936473
-0.9,100,19.383792
1.91,10,19.429902
1.928,8,19.467281
1.919,9,19.509053
1.919,9,19.550933
1.946,6,19.579159
1.946,6,19.607512
1.928,8,19.644798
1.937,7,19.677467
1.955,5,19.701358
-0.9,100,20.153018
1.919,9,20.197122
-0.9,100,20.645665
-0.9,100,21.093246
1.883,13,21.152849
1.856,16,21.226255
1.811,21,21.322418
1.874,14,21.388198
1.865,15,21.459445
1.838,18,21.54297
1.883,13,21.602656
1.892,12,21.657725
1.892,12,21.712784
1.874,14,21.776899
1.919,9,21.818659
1.946,6,21.847002
1.964,4,21.866246
-0.9,100,22.312222
1.964,4,22.331446
1.937,7,22.36416
1.919,9,22.405815
-0.9,100,22.85841
1.883,13,22.918228
-0.9,100,23.367344
1.82,20,23.458319
1.865,15,23.526801
-0.9,100,23.978688
1.919,9,24.021163
1.919,9,24.063415
1.928,8,24.100502
1.955,5,24.124317
1.919,9,24.166005
1.847,17,24.243292
1.73,30,24.378502
-0.9,100,24.825536
1.892,12,24.88046
-0.9,100,25.334852
1.901,11,25.385695
1.874,14,25.449555
1.892,12,25.504617
1.883,13,25.564209
1.883,13,25.623614
-0.9,100,26.071716
1.919,9,26.113403
1.937,7,26.14606
1.901,11,26.196646
1.901,11,26.248016
1.919,9,26.290284
1.838,18,26.373595
1.946,6,26.403316
1.874,14,26.469579
1.928,8,26.508038
1.874,14,26.573221
1.874,14,26.63734
1.919,9,26.679184
1.838,18,26.761301
1.865,15,26.829847
1.865,15,26.898245
-0.9,100,27.345494
-0.9,100,27.799891
1.892,12,27.855351
1.865,15,27.923818
1.892,12,27.978965
1.919,9,28.020589
1.802,22,28.120507
1.901,11,28.171036
-0.9,100,28.617789
1.928,8,28.654855
1.901,11,28.705707
1.91,10,28.752785
1.874,14,28.817822
1.901,11,28.869076
1.892,12,28.925846
-0.9,100,29.37704
-0.9,100,29.820626
1.838,18,29.902515
1.937,7,29.935214
1.937,7,29.967863
1.883,13,30.028471
1.937,7,30.061337
1.856,16,30.135024
1.919,9,30.178157
1.865,15,30.249392
1.847,17,30.328942
1.91,10,30.375628
1.865,15,30.444086
1.883,13,30.503747
-0.9,100,30.951755
1.937,7,30.984419
1.883,13,31.044
1.91,10,31.090233
1.937,7,31.122902
1.901,11,31.173396
-0.9,100,31.626797
1.919,9,31.668531
1.883,13,31.72827
1.901,11,31.778933
1.901,11,31.829552
1.91,10,31.875621
1.883,13,31.935212
1.883,13,31.99462
1.883,13,32.054047
1.874,14,32.118032
1.919,9,32.159559
1.919,9,32.201142
1.928,8,32.238305
1.946,6,32.266593
1.937,7,32.301411
1.955,5,32.32523
1.928,8,32.362418
1.901,11,32.412877
1.91,10,32.458896
-0.9,100,32.912599
