#{"t_start": 1674041575.6380377, "env_id": null}
r,l,t
-0.9,100,4.169262
1.928,8,4.207891
1.847,17,4.287339
1.883,13,4.348427
1.856,16,4.425298
1.955,5,4.454567
1.649,39,4.641433
-0.9,100,5.103957
1.82,20,5.227907
1.901,11,5.280067
1.856,16,5.358464
1.46,60,5.63659
1.964,4,5.656887
1.937,7,5.690939
-0.9,100,6.161605
1.964,4,6.181335
1.622,42,6.379748
1.865,15,6.450234
1.928,8,6.488296
1.964,4,6.507902
-0.9,100,6.971722
1.946,6,7.001196
1.946,6,7.030947
-0.9,100,7.501032
1.937,7,7.534603
1.892,12,7.591163
1.91,10,7.638265
1.946,6,7.667394
1.838,18,7.751189
1.937,7,7.784674
1.838,18,7.868929
1.829,19,7.960087
1.919,9,8.003243
-0.9,100,8.470832
1.514,54,8.720115
1.802,22,8.822284
-0.9,100,9.284696
1.829,19,9.373411
1.82,20,9.468671
1.946,6,9.498131
1.946,6,9.527345
1.919,9,9.571654
1.937,7,9.605843
-0.9,100,10.071622
1.946,6,10.100811
1.928,8,10.138946
1.955,5,10.163136
1.955,5,10.187394
1.937,7,10.220923
1.964,4,10.240933
1.505,55,10.494289
1.955,5,10.51863
1.946,6,10.547515
1.919,9,10.589978
-0.9,100,11.052843
1.811,21,11.150656
1.874,14,11.216214
1.919,9,11.259003
1.829,19,11.347489
1.631,41,11.536636
1.595,45,11.744102
-0.9,100,12.213698
1.928,8,12.252225
1.946,6,12.28118
1.964,4,12.300793
1.361,71,12.62745
1.64,40,12.812448
1.928,8,12.850494
1.955,5,12.874881
1.892,12,12.933865
1.838,18,13.017865
1.478,58,13.287407
1.829,19,13.378492
-0.9,100,13.842172
1.874,14,13.907593
-0.9,100,14.368078
-0.9,100,14.837417
-0.9,100,15.296732
1.919,9,15.339518
1.739,29,15.474496
1.91,10,15.521607
1.676,36,15.688587
1.658,38,15.868184
1.838,18,15.955168
-0.9,100,16.41838
1.82,20,16.511448
-0.9,100,16.970688
1.901,11,17.02301
-0.9,100,17.49173
1.55,50,17.722449
1.613,43,17.921202
1.892,12,17.977532
1.919,9,18.019987
1.901,11,18.071822
1.748,28,18.201708
-0.9,100,18.668169
-0.9,100,19.128586
1.946,6,19.157254
1.811,21,19.254947
1.604,44,19.459497
1.91,10,19.5078
-0.9,100,19.978132
1.964,4,19.997861
1.586,46,20.209618
1.811,21,20.307027
1.883,13,20.368002
1.568,48,20.589818
-0.9,100,21.057758
-0.9,100,21.514028
1.856,16,21.588717
1.955,5,21.613011
-0.099,11,21.664722
1.676,36,21.831018
1.955,5,21.855316
1.946,6,21.884169
1.937,7,21.917578
1.847,17,22.001042
1.937,7,22.035305
1.955,5,22.059983
1.73,30,22.203965
-0.9,100,22.666267
1.892,12,22.722543
1.784,24,22.833966
-0.9,100,23.292653
1.883,13,23.354848
-0.9,100,23.820618
1.919,9,23.863312
1.829,19,23.951936
1.82,20,24.044912
1.91,10,24.092358
1.865,15,24.162392
-0.9,100,24.625803
1.748,28,24.760779
1.955,5,24.785634
1.955,5,24.810022
1.928,8,24.848019
-0.9,100,25.307781
1.667,37,25.47839
1.91,10,25.525627
1.937,7,25.559133
-0.9,100,26.023753
1.901,11,26.078645
1.802,22,26.180549
1.811,21,26.278099
1.649,39,26.458643
1.883,13,26.519521
-0.9,100,26.979817
1.883,13,27.041752
-0.9,100,27.506687
-0.9,100,27.967718
-0.9,100,28.434253
-0.9,100,28.894588
-0.9,100,29.358324
-0.9,100,29.824971
-0.9,100,30.286396
-0.9,100,30.75079
1.937,7,30.785231
1.919,9,30.828785
1.946,6,30.858459
1.946,6,30.887729
1.946,6,30.917909
-0.9,100,31.379384
1.586,46,31.591246
1.703,33,31.744345
1.928,8,31.782416
1.91,10,31.829523
1.784,24,31.942998
1.937,7,31.976433
1.865,15,32.047689
1.685,35,32.213425
1.883,13,32.277287
1.748,28,32.408212
-0.9,100,32.864752
1.892,12,32.921043
1.91,10,32.968234
1.64,40,33.153204
1.919,9,33.195748
1.802,22,33.299202
1.874,14,33.365667
1.856,16,33.444335
1.865,15,33.517743
1.91,10,33.565952
1.649,39,33.746924
1.856,16,33.821457
1.694,34,33.979189
1.811,21,34.076806
1.856,16,34.15162
1.928,8,34.18957
1.919,9,34.232264
1.883,13,34.2933
1.91,10,34.340446
1.91,10,34.387709
1.748,28,34.517524
1.955,5,34.54264
-0.9,100,35.013915
1.928,8,35.052177
-0.9,100,35.508616
1.928,8,35.546465
-0.9,100,36.007638
1.793,23,36.11662
1.784,24,36.228251
1.838,18,36.312044
1.883,13,36.376791
1.865,15,36.447231
-0.9,100,36.90491
1.928,8,36.943093
