#{"t_start": 1674047509.3722577, "env_id": null}
r,l,t
-0.9,100,4.127104
1.928,8,4.164831
1.847,17,4.242358
1.883,13,4.302006
1.856,16,4.375382
1.955,5,4.399382
1.649,39,4.583467
-0.9,100,5.037375
1.82,20,5.128897
1.901,11,5.179417
1.856,16,5.252848
1.46,60,5.527716
1.964,4,5.547153
1.937,7,5.5799
-0.9,100,6.036208
1.964,4,6.055639
1.622,42,6.248967
1.865,15,6.317509
1.928,8,6.354522
1.964,4,6.373699
-0.9,100,6.823973
1.946,6,6.852284
1.946,6,6.880503
-0.9,100,7.342039
1.937,7,7.37497
1.892,12,7.430061
1.91,10,7.476007
1.946,6,7.504287
1.838,18,7.586105
1.937,7,7.618731
1.838,18,7.700896
1.829,19,7.787357
1.919,9,7.829028
-0.9,100,8.28412
1.514,54,8.532701
1.802,22,8.632927
-0.9,100,9.084725
1.829,19,9.171107
1.82,20,9.262032
1.946,6,9.290235
1.946,6,9.318657
1.919,9,9.360255
1.937,7,9.392889
-0.9,100,9.851083
1.946,6,9.879484
1.928,8,9.916823
1.955,5,9.940423
1.955,5,9.964262
1.937,7,9.996944
1.964,4,10.016195
1.919,9,10.057819
1.955,5,10.081605
1.946,6,10.109942
1.919,9,10.151582
-0.9,100,10.597023
1.811,21,10.692621
1.874,14,10.758692
1.919,9,10.80123
1.829,19,10.889138
1.631,41,11.077668
1.613,43,11.273601
-0.9,100,11.725685
1.928,8,11.762954
1.946,6,11.791197
1.964,4,11.81052
1.361,71,12.136361
1.64,40,12.321857
1.928,8,12.360082
1.955,5,12.383902
1.892,12,12.438948
1.838,18,12.52108
1.478,58,12.781791
1.829,19,12.868327
-0.9,100,13.320822
1.874,14,13.386259
-0.9,100,13.84191
-0.9,100,14.290978
-0.9,100,14.747351
1.919,9,14.79021
1.739,29,14.922425
1.91,10,14.968235
1.676,36,15.130935
1.658,38,15.302886
1.838,18,15.385269
-0.9,100,15.839437
1.82,20,15.932494
-0.9,100,16.384063
1.901,11,16.434683
-0.9,100,16.884839
1.55,50,17.112038
1.613,43,17.311356
