#{"t_start": 1674041820.6649625, "env_id": null}
r,l,t
1.91,10,0.203125
1.946,6,0.234352
1.901,11,0.286022
1.937,7,0.319753
1.937,7,0.353178
1.955,5,0.377652
1.901,11,0.429519
1.883,13,0.490478
1.883,13,0.551237
1.919,9,0.593907
1.874,14,0.659475
1.883,13,0.720496
1.964,4,0.740156
1.937,7,0.774071
1.946,6,0.803411
1.964,4,0.823385
1.91,10,0.871488
1.955,5,0.896152
1.937,7,0.931089
1.964,4,0.951301
1.928,8,0.990258
1.946,6,1.021121
1.946,6,1.050545
1.883,13,1.112564
1.937,7,1.148025
1.919,9,1.19219
1.919,9,1.235487
-0.9,100,1.693204
1.946,6,1.722142
1.937,7,1.755574
1.865,15,1.825638
1.829,19,1.913892
1.919,9,1.956624
1.901,11,2.008322
1.892,12,2.065783
1.883,13,2.127524
1.946,6,2.156849
-0.9,100,2.619161
-0.9,100,3.076276
1.937,7,3.109608
1.946,6,3.138603
1.883,13,3.199877
1.937,7,3.233493
1.928,8,3.271568
1.946,6,3.301627
1.928,8,3.340307
1.955,5,3.364975
1.955,5,3.389677
-0.9,100,3.853383
1.964,4,3.873586
-0.9,100,4.330189
1.955,5,4.354655
1.946,6,4.383622
1.919,9,4.426189
1.874,14,4.491699
1.901,11,4.546341
1.874,14,4.613064
1.919,9,4.656425
1.901,11,4.70979
1.883,13,4.773413
1.919,9,4.817606
1.937,7,4.851753
-0.9,100,5.311333
1.946,6,5.340455
1.964,4,5.360103
-0.9,100,5.819205
1.919,9,5.862172
1.946,6,5.891748
1.955,5,5.916472
1.919,9,5.960651
1.928,8,5.999876
1.937,7,6.035194
1.874,14,6.102352
1.856,16,6.17783
1.874,14,6.243446
1.919,9,6.286133
1.874,14,6.351601
1.856,16,6.426218
1.919,9,6.468846
1.883,13,6.529841
1.901,11,6.581542
1.874,14,6.646968
1.865,15,6.716686
1.919,9,6.759275
1.892,12,6.815608
1.874,14,6.881285
1.829,19,6.969641
1.901,11,7.021405
1.892,12,7.078635
1.928,8,7.117283
1.892,12,7.174448
1.892,12,7.232411
1.919,9,7.276281
1.901,11,7.3298
1.874,14,7.396422
1.91,10,7.443704
1.919,9,7.486384
1.946,6,7.515352
1.928,8,7.5534
1.919,9,7.596198
1.937,7,7.62965
1.937,7,7.663135
1.964,4,7.682821
1.919,9,7.725396
1.919,9,7.767968
1.946,6,7.797223
1.937,7,7.830687
1.919,9,7.873417
1.919,9,7.916008
1.91,10,7.96337
1.955,5,7.98787
1.919,9,8.030474
1.928,8,8.068666
-0.9,100,8.531628
1.928,8,8.571358
1.937,7,8.605516
1.919,9,8.648316
1.937,7,8.68219
1.955,5,8.706573
1.928,8,8.744619
1.883,13,8.805549
1.892,12,8.864294
1.892,12,8.920706
1.892,12,8.977293
1.883,13,9.038271
1.874,14,9.103661
1.919,9,9.14635
1.91,10,9.193555
1.937,7,9.227024
1.901,11,9.278929
1.865,15,9.349172
1.91,10,9.396303
1.919,9,9.439049
1.955,5,9.46348
1.955,5,9.487831
-0.9,100,9.953929
1.928,8,9.992029
1.928,8,10.030061
1.919,9,10.07267
1.937,7,10.106196
1.91,10,10.153374
1.865,15,10.223912
1.883,13,10.284808
1.865,15,10.354898
1.865,15,10.425012
1.883,13,10.486161
1.856,16,10.560892
1.919,9,10.603566
1.883,13,10.664501
1.874,14,10.730483
1.847,17,10.810422
1.883,13,10.872543
1.919,9,10.915992
1.865,15,10.988054
1.91,10,11.0364
1.865,15,11.109043
1.937,7,11.143167
1.919,9,11.186085
1.946,6,11.215327
1.964,4,11.235038
1.946,6,11.263988
1.964,4,11.283638
-0.9,100,11.740193
1.928,8,11.778205
1.901,11,11.829955
1.946,6,11.858902
1.91,10,11.90618
1.946,6,11.935077
-0.9,100,12.400311
1.883,13,12.461449
1.856,16,12.536147
1.91,10,12.583344
1.838,18,12.666956
1.892,12,12.723209
1.838,18,12.806823
1.865,15,12.876881
1.928,8,12.914943
1.883,13,12.975793
1.883,13,13.036875
1.892,12,13.093262
1.883,13,13.156175
1.901,11,13.208419
1.919,9,13.251019
1.856,16,13.326127
1.847,17,13.406936
