#{"t_start": 1674047749.515179, "env_id": null}
r,l,t
1.91,10,0.197642
1.946,6,0.225952
1.919,9,0.267335
1.937,7,0.300237
1.937,7,0.332884
1.955,5,0.35671
1.901,11,0.407956
1.883,13,0.467677
1.883,13,0.527066
1.919,9,0.568704
1.874,14,0.634067
1.883,13,0.693909
1.964,4,0.713178
1.937,7,0.74712
1.946,6,0.776112
1.964,4,0.795841
1.91,10,0.844069
1.955,5,0.868333
1.937,7,0.901417
1.964,4,0.921007
1.928,8,0.958232
1.946,6,0.986519
1.946,6,1.014667
1.883,13,1.074037
1.937,7,1.106727
1.919,9,1.148556
1.919,9,1.190195
-0.9,100,1.636869
1.946,6,1.665122
1.937,7,1.697735
1.865,15,1.766153
1.829,19,1.853061
1.919,9,1.895018
1.901,11,1.946116
1.892,12,2.002218
1.883,13,2.063089
1.946,6,2.093405
-0.9,100,2.540942
-0.9,100,2.98856
1.937,7,3.021228
1.946,6,3.049484
1.883,13,3.109525
1.937,7,3.142716
1.928,8,3.180437
1.946,6,3.208978
1.928,8,3.246601
1.955,5,3.271233
1.955,5,3.295669
-0.9,100,3.748417
1.964,4,3.76774
-0.9,100,4.213036
1.955,5,4.236919
1.946,6,4.265188
1.919,9,4.306784
1.874,14,4.371248
1.901,11,4.42254
1.874,14,4.487078
1.919,9,4.53019
1.901,11,4.581796
1.883,13,4.644292
1.919,9,4.686712
1.937,7,4.719919
-0.9,100,5.167198
1.946,6,5.1959
1.964,4,5.21523
-0.9,100,5.665346
1.91,10,5.711747
1.946,6,5.740131
1.955,5,5.764233
1.919,9,5.807646
1.928,8,5.845853
1.937,7,5.880221
1.874,14,5.945112
1.856,16,6.018337
1.892,12,6.073066
1.919,9,6.114702
1.874,14,6.1785
1.856,16,6.251378
1.919,9,6.293001
1.883,13,6.352556
1.901,11,6.402923
1.874,14,6.46687
1.865,15,6.535073
1.919,9,6.576692
1.892,12,6.631783
1.874,14,6.695698
1.829,19,6.781915
1.901,11,6.832471
1.892,12,6.887887
1.928,8,6.925473
1.892,12,6.981063
1.892,12,7.037476
1.919,9,7.080115
1.901,11,7.132909
1.874,14,7.197803
1.91,10,7.244065
1.919,9,7.285802
1.946,6,7.314094
1.928,8,7.35116
1.919,9,7.392989
1.937,7,7.42585
1.937,7,7.458592
1.964,4,7.47776
1.919,9,7.519295
1.919,9,7.561053
1.946,6,7.589296
1.937,7,7.622131
1.919,9,7.663951
1.919,9,7.705619
1.91,10,7.751674
1.955,5,7.775596
1.919,9,7.817297
1.928,8,7.854532
-0.9,100,8.306978
1.928,8,8.344891
1.937,7,8.379423
1.919,9,8.422219
1.937,7,8.455434
1.955,5,8.479617
1.928,8,8.517102
1.883,13,8.57651
1.892,12,8.631533
1.892,12,8.686625
1.892,12,8.741908
1.883,13,8.801543
1.874,14,8.865343
1.919,9,8.906939
1.91,10,8.953021
1.937,7,8.985745
1.901,11,9.036285
1.865,15,9.104613
1.91,10,9.150764
1.919,9,9.192353
1.955,5,9.216195
1.955,5,9.239945
-0.9,100,9.692648
1.928,8,9.730535
1.928,8,9.767963
1.919,9,9.809737
1.937,7,9.842527
1.91,10,9.888623
1.865,15,9.956825
1.883,13,10.016519
1.865,15,10.084874
1.865,15,10.153324
1.883,13,10.212833
1.856,16,10.285612
1.919,9,10.327573
1.883,13,10.387065
1.874,14,10.452029
1.847,17,10.529503
1.883,13,10.591324
1.919,9,10.634023
1.865,15,10.703571
1.91,10,10.750333
1.865,15,10.821012
1.937,7,10.854516
1.919,9,10.898791
1.946,6,10.927558
1.964,4,10.94727
1.946,6,10.976047
1.964,4,10.99524
-0.9,100,11.440527
1.928,8,11.47775
1.919,9,11.519394
1.946,6,11.54764
1.91,10,11.593769
