#{"t_start": 1674041766.7726436, "env_id": null}
r,l,t
1.901,11,0.210358
1.946,6,0.239354
1.919,9,0.28187
1.937,7,0.315369
1.937,7,0.348812
1.955,5,0.373093
1.901,11,0.424931
1.892,12,0.48135
1.883,13,0.542436
1.919,9,0.585015
1.874,14,0.652052
1.883,13,0.714395
1.964,4,0.734208
1.937,7,0.769334
1.946,6,0.798889
1.964,4,0.819406
1.91,10,0.868389
1.955,5,0.893252
1.928,8,0.931778
1.964,4,0.9515
1.928,8,0.989537
1.946,6,1.01852
1.946,6,1.047455
1.883,13,1.108196
1.937,7,1.141603
1.919,9,1.184403
1.919,9,1.226932
1.946,6,1.255831
1.946,6,1.284686
1.937,7,1.318246
1.91,10,1.365528
1.865,15,1.435498
1.919,9,1.478282
1.91,10,1.525525
1.892,12,1.581924
1.892,12,1.638613
1.946,6,1.667717
1.919,9,1.710404
1.91,10,1.757592
1.946,6,1.786478
1.946,6,1.81536
1.928,8,1.85413
1.937,7,1.888015
1.928,8,1.926574
-0.9,100,2.389654
1.928,8,2.427943
1.955,5,2.452521
1.955,5,2.476858
1.946,6,2.505946
1.964,4,2.525615
1.91,10,2.574903
1.955,5,2.599316
1.946,6,2.628227
1.919,9,2.670786
1.874,14,2.736316
1.901,11,2.788257
1.874,14,2.853887
1.919,9,2.89657
1.901,11,2.94845
1.883,13,3.009464
1.919,9,3.052065
1.937,7,3.085511
-0.9,100,3.553045
1.946,6,3.582041
1.964,4,3.601698
-0.9,100,4.060913
-0.9,100,4.523228
1.946,6,4.552923
1.955,5,4.577852
1.928,8,4.617885
1.928,8,4.6568
-0.9,100,5.115529
1.901,11,5.167171
1.847,17,5.247422
1.901,11,5.299131
1.919,9,5.342043
1.874,14,5.407468
1.856,16,5.482062
-0.9,100,5.947484
1.883,13,6.00835
1.901,11,6.060251
1.874,14,6.126112
1.874,14,6.191553
1.919,9,6.234097
1.892,12,6.290655
1.874,14,6.35605
-0.9,100,6.811281
1.892,12,6.870132
1.892,12,6.927379
1.928,8,6.966212
1.892,12,7.024295
1.892,12,7.082408
1.919,9,7.127049
