#{"t_start": 1674047696.877183, "env_id": null}
r,l,t
1.901,11,0.201901
1.946,6,0.230184
1.919,9,0.271662
1.937,7,0.304313
1.937,7,0.336973
1.955,5,0.360701
1.901,11,0.411442
1.892,12,0.467243
1.883,13,0.52977
1.919,9,0.571872
1.856,16,0.646668
1.883,13,0.708516
1.964,4,0.728203
1.937,7,0.761394
1.946,6,0.789851
1.964,4,0.809038
1.91,10,0.855297
1.955,5,0.87928
1.928,8,0.9162
1.964,4,0.935373
1.928,8,0.972436
1.946,6,1.000586
1.946,6,1.028994
1.865,15,1.09709
1.937,7,1.129721
1.919,9,1.171264
1.919,9,1.21268
1.946,6,1.240931
1.946,6,1.269148
1.937,7,1.301761
1.91,10,1.347893
1.865,15,1.416179
1.919,9,1.457973
1.91,10,1.503941
1.892,12,1.558934
1.892,12,1.61405
1.946,6,1.642271
1.919,9,1.683982
1.91,10,1.730829
1.946,6,1.759308
1.946,6,1.787916
1.901,11,1.838909
1.937,7,1.873139
1.928,8,1.911041
-0.9,100,2.362089
1.928,8,2.399309
1.955,5,2.423338
1.955,5,2.447176
1.946,6,2.475307
1.964,4,2.49451
1.91,10,2.540538
1.955,5,2.564329
1.946,6,2.592768
1.919,9,2.634295
1.874,14,2.698159
1.901,11,2.748744
1.874,14,2.81266
1.919,9,2.854447
1.901,11,2.905096
1.883,13,2.965029
1.919,9,3.00803
1.937,7,3.041778
1.928,8,3.079477
1.946,6,3.108043
1.964,4,3.128381
-0.9,100,3.57935
1.901,11,3.629709
1.946,6,3.657923
1.955,5,3.681746
1.928,8,3.718823
1.928,8,3.756115
-0.9,100,4.203363
1.901,11,4.254611
1.829,19,4.3416
1.901,11,4.393502
1.919,9,4.436168
1.856,16,4.511414
1.856,16,4.585065
-0.9,100,5.038528
1.883,13,5.098311
1.901,11,5.148804
1.874,14,5.212666
1.874,14,5.276573
1.919,9,5.31809
1.892,12,5.373072
1.874,14,5.43686
-0.9,100,5.888735
1.892,12,5.943624
1.892,12,5.998428
1.928,8,6.035847
1.892,12,6.090994
1.892,12,6.146046
1.919,9,6.187634
1.901,11,6.238121
1.874,14,6.302218
1.91,10,6.348528
1.928,8,6.385735
1.946,6,6.414089
1.928,8,6.451195
1.919,9,6.49288
1.937,7,6.525555
1.937,7,6.558216
1.964,4,6.577446
1.937,7,6.60994
1.919,9,6.651492
1.946,6,6.679743
1.937,7,6.712482
1.919,9,6.754895
1.91,10,6.801715
-0.9,100,7.255354
1.955,5,7.279243
-0.9,100,7.72584
1.928,8,7.763041
1.955,5,7.786814
1.928,8,7.824025
1.937,7,7.85672
1.919,9,7.898329
1.937,7,7.931021
1.955,5,7.954828
1.928,8,7.992369
1.883,13,8.05402
1.892,12,8.110291
1.892,12,8.166953
1.892,12,8.22384
1.883,13,8.285237
1.874,14,8.349955
1.919,9,8.391731
1.91,10,8.43792
1.937,7,8.470658
1.91,10,8.516732
-0.9,100,8.961741
1.91,10,9.00781
1.919,9,9.049416
1.955,5,9.07544
1.955,5,9.099329
1.928,8,9.13648
1.937,7,9.169176
1.937,7,9.201881
1.919,9,9.243524
1.919,9,9.286186
1.91,10,9.332755
1.901,11,9.383858
1.874,14,9.450153
