#{"t_start": 1674041989.0775886, "env_id": null}
r,l,t
1.865,15,0.224731
1.946,6,0.253695
1.622,42,0.448164
1.631,41,0.63774
-0.9,100,1.108481
1.955,5,1.132946
1.802,22,1.235651
1.856,16,1.31055
-0.9,100,1.771746
1.856,16,1.84662
1.865,15,1.916559
1.694,34,2.075098
-0.9,100,2.539801
1.937,7,2.573442
1.802,22,2.67642
1.964,4,2.696099
1.856,16,2.770777
1.919,9,2.813497
1.856,16,2.888252
-0.9,100,3.343971
-0.9,100,3.810551
1.946,6,3.839508
1.946,6,3.868527
1.847,17,3.947788
1.919,9,3.990512
-0.9,100,4.448604
1.91,10,4.495956
1.946,6,4.524887
1.946,6,4.554119
1.937,7,4.588471
1.658,38,4.767682
-0.9,100,5.230124
-0.9,100,5.68697
-0.9,100,6.150572
-0.9,100,6.610279
1.523,53,6.854445
1.865,15,6.924419
1.694,34,7.082749
-0.9,100,7.547976
1.946,6,7.577024
1.946,6,7.605901
1.478,58,7.873489
1.775,25,7.994019
-0.9,100,8.447362
-0.9,100,8.906168
1.91,10,8.953266
-0.9,100,9.413031
-0.9,100,9.877431
1.892,12,9.934382
1.964,4,9.954041
1.919,9,9.996657
1.955,5,10.021007
1.838,18,10.104871
1.919,9,10.147523
1.568,48,10.368173
1.775,25,10.483985
-0.9,100,10.945462
1.919,9,10.989667
1.865,15,11.062465
1.811,21,11.163048
1.919,9,11.205669
-0.9,100,11.664953
1.946,6,11.693798
1.946,6,11.722764
1.964,4,11.742366
1.532,52,11.982349
1.82,20,12.075307
1.946,6,12.104895
-0.9,100,12.574788
1.595,45,12.782318
-0.9,100,13.243845
1.739,29,13.379727
1.649,39,13.563126
1.829,19,13.655005
1.784,24,13.767048
1.748,28,13.896441
1.865,15,13.966585
1.73,30,14.105486
-0.9,100,14.564623
1.856,16,14.640723
-0.9,100,15.103924
1.622,42,15.298678
-0.9,100,15.759974
-0.9,100,16.225989
-0.9,100,16.686809
-0.9,100,17.149158
1.703,33,17.304914
1.55,50,17.540252
1.604,44,17.744217
-0.9,100,18.203507
1.802,22,18.306356
1.82,20,18.400446
1.91,10,18.44791
1.865,15,18.518711
1.874,14,18.586377
1.91,10,18.636257
1.919,9,18.679809
-0.9,100,19.139661
1.91,10,19.186871
1.532,52,19.426741
1.838,18,19.510857
1.802,22,19.613031
1.901,11,19.666241
1.892,12,19.723147
1.73,30,19.865979
-0.9,100,20.326584
1.739,29,20.461082
-0.9,100,20.92594
1.793,23,21.034904
1.658,38,21.216705
1.955,5,21.241396
1.739,29,21.375381
-0.9,100,21.834647
1.919,9,21.877386
1.892,12,21.933867
1.937,7,21.967409
-0.9,100,22.435487
1.937,7,22.46967
1.955,5,22.494503
1.874,14,22.5606
-0.9,100,23.020526
1.856,16,23.095192
1.676,36,23.262319
1.658,38,23.439179
1.739,29,23.576533
1.874,14,23.644078
1.577,47,23.863472
-0.9,100,24.324099
1.703,33,24.476842
1.901,11,24.528853
1.865,15,24.599036
-0.9,100,25.063354
-0.9,100,25.524157
-0.9,100,25.981155
1.955,5,26.006144
-0.9,100,26.469607
1.586,46,26.682858
-0.9,100,27.140629
1.919,9,27.184229
1.901,11,27.237207
1.82,20,27.331748
1.865,15,27.403894
-0.9,100,27.866532
1.667,37,28.037845
1.667,37,28.209663
1.883,13,28.270731
-0.9,100,28.739643
1.883,13,28.801147
1.721,31,28.944967
1.694,34,29.102465
-0.9,100,29.562075
1.883,13,29.623292
1.577,47,29.844094
-0.9,100,30.309478
-0.9,100,30.767602
-0.9,100,31.236473
1.658,38,31.412518
1.919,9,31.455266
-0.9,100,31.914562
-0.9,100,32.376832
1.604,44,32.584008
1.847,17,32.663455
1.955,5,32.687827
1.802,22,32.790273
1.928,8,32.82829
1.865,15,32.89857
-0.9,100,33.360615
1.946,6,33.38957
-0.9,100,33.854686
-0.9,100,34.313758
1.64,40,34.498493
1.694,34,34.656052
-0.9,100,35.122244
1.892,12,35.178745
1.64,40,35.363878
1.541,51,35.599317
1.928,8,35.637442
1.433,63,35.928243
1.865,15,35.999421
1.802,22,36.103617
-0.9,100,36.570548
1.757,27,36.696162
1.46,60,36.971972
1.667,37,37.143105
-0.9,100,37.609386
-0.9,100,38.072292
-0.9,100,38.534135
1.928,8,38.572713
1.82,20,38.66837
1.577,47,38.889433
1.739,29,39.023753
1.919,9,39.06648
1.955,5,39.090788
-0.9,100,39.548174
-0.9,100,40.016449
-0.9,100,40.475041
1.901,11,40.526906
1.712,32,40.675435
-0.9,100,41.131889
-0.9,100,41.596565
-0.9,100,42.053581
1.883,13,42.114359
-0.9,100,42.577292
1.946,6,42.606534
1.91,10,42.653652
1.928,8,42.691729
1.937,7,42.725113
1.937,7,42.758539
1.874,14,42.823958
-0.9,100,43.280404
-0.9,100,43.746745
1.901,11,43.799833
-0.9,100,44.262214
1.838,18,44.345722
1.739,29,44.479823
1.874,14,44.545334
1.892,12,44.601637
1.667,37,44.773508
1.658,38,44.952213
-0.9,100,45.415884
-0.9,100,45.876403
1.793,23,45.983341
1.919,9,46.026894
1.946,6,46.056215
-0.9,100,46.522465
1.901,11,46.575672
1.964,4,46.602374
-0.9,100,47.060321
1.829,19,47.148779
-0.9,100,47.61679
-0.9,100,48.077553
-0.9,100,48.538993
-0.9,100,49.00656
-0.9,100,49.463083
-0.9,100,49.925335
-0.9,100,50.39133
-0.9,100,50.85115
1.721,31,50.998723
1.955,5,51.023362
1.811,21,51.123735
1.865,15,51.194959
1.55,50,51.430597
-0.9,100,51.892393
-0.9,100,52.349336
-0.9,100,52.814902
1.829,19,52.903787
1.874,14,52.969222
1.856,16,53.043765
1.739,29,53.17748
1.739,29,53.311564
1.622,42,53.504814
1.919,9,53.547688
1.937,7,53.581744
-0.9,100,54.047567
1.937,7,54.080968
1.586,46,54.292304
-0.9,100,54.750281
1.847,17,54.83065
-0.9,100,55.298601
1.856,16,55.373775
-0.9,100,55.833755
1.424,64,56.129279
-0.9,100,56.596202
1.784,24,56.707864
1.568,48,56.929842
-0.9,100,57.388004
1.865,15,57.45872
1.892,12,57.516509
-0.9,100,57.978198
-0.9,100,58.438513
-0.9,100,58.903217
1.919,9,58.945941
1.586,46,59.158445
-0.9,100,59.619563
1.856,16,59.694214
1.568,48,59.917212
1.901,11,59.969812
1.91,10,60.018901
1.514,54,60.27014
1.838,18,60.353693
1.892,12,60.409979
-0.9,100,60.870372
1.928,8,60.908803
1.811,21,61.006245
-0.9,100,61.473955
1.919,9,61.516822
1.811,21,61.615371
-0.9,100,62.076372
-0.9,100,62.535156
1.919,9,62.579434
1.64,40,62.76744
1.793,23,62.873842
1.874,14,62.939324
-0.9,100,63.399123
1.478,58,63.66806
1.847,17,63.747584
-0.9,100,64.212435
1.892,12,64.268854
1.874,14,64.334295
1.874,14,64.399693
-0.9,100,64.857638
-0.9,100,65.322026
1.847,17,65.402009
1.604,44,65.605252
-0.9,100,66.061979
1.82,20,66.156008
-0.9,100,66.625506
1.55,50,66.856423
-0.9,100,67.315624
-0.9,100,67.783437
1.901,11,67.835343
-0.9,100,68.298644
1.514,54,68.547848
1.775,25,68.665108
1.928,8,68.703533
-0.9,100,69.170305
1.955,5,69.194637
-0.9,100,69.653662
-0.9,100,70.121321
-0.9,100,70.585168
-0.9,100,71.050137
-0.9,100,71.519172
-0.9,100,71.981594
-0.9,100,72.445987
1.829,19,72.535395
1.928,8,72.575124
-0.9,100,73.04574
-0.9,100,73.506582
1.532,52,73.747432
-0.9,100,74.209874
1.937,7,74.243522
1.928,8,74.281615
1.856,16,74.356785
1.865,15,74.426574
1.775,25,74.542354
1.946,6,74.571422
-0.9,100,75.029563
-0.9,100,75.497457
-0.9,100,75.957673
1.658,38,76.134115
-0.9,100,76.604184
1.604,44,76.809791
1.829,19,76.898192
-0.9,100,77.355684
1.622,42,77.551745
1.883,13,77.614682
1.883,13,77.677699
1.883,13,77.740491
1.901,11,77.793061
1.865,15,77.863114
1.64,40,78.048064
-0.9,100,78.508181
1.568,48,78.730703
1.874,14,78.797109
1.622,42,78.997377
-0.9,100,79.459444
1.901,11,79.511365
-0.9,100,79.972478
1.874,14,80.038817
1.721,31,80.186396
1.748,28,80.31848
1.766,26,80.438971
1.928,8,80.476823
1.811,21,80.574145
1.658,38,80.750028
1.694,34,80.907312
1.694,34,81.066239
1.892,12,81.122426
1.856,16,81.196705
1.919,9,81.240328
1.91,10,81.288422
1.784,24,81.400908
1.874,14,81.46861
1.802,22,81.57278
1.919,9,81.615556
1.928,8,81.653376
1.946,6,81.682084
1.955,5,81.706165
1.919,9,81.748935
1.856,16,81.823725
-0.9,100,82.278465
1.928,8,82.316208
1.901,11,82.367665
1.793,23,82.475718
1.883,13,82.536905
1.928,8,82.57496
1.91,10,82.62258
1.937,7,82.656514
1.937,7,82.690987
1.955,5,82.715979
1.883,13,82.777869
1.631,41,82.966898
-0.9,100,83.426205
1.631,41,83.615221
1.712,32,83.764148
-0.9,100,84.222891
1.946,6,84.251697
1.928,8,84.289488
1.739,29,84.423676
1.946,6,84.45274
1.964,4,84.472224
1.964,4,84.491721
-0.9,100,84.951288
1.64,40,85.138707
1.865,15,85.211341
1.883,13,85.27544
