#{"t_start": 1674041875.913214, "env_id": null}
r,l,t
1.865,15,0.229764
-0.9,100,0.68985
1.901,11,0.741483
1.559,49,0.971353
1.91,10,1.020917
1.955,5,1.047254
1.613,43,1.25049
1.469,59,1.521606
1.883,13,1.582448
1.613,43,1.781392
-0.9,100,2.240952
1.838,18,2.482767
1.964,4,2.502537
1.937,7,2.536029
1.946,6,2.564898
1.721,31,2.708431
1.91,10,2.755557
1.838,18,2.839733
1.937,7,2.873113
1.964,4,2.892782
1.748,28,3.02261
1.937,7,3.056088
1.946,6,3.084962
-0.9,100,3.544502
1.496,56,3.80725
1.586,46,4.019252
-0.9,100,4.476165
-0.9,100,4.94419
1.55,50,5.177233
1.937,7,5.210809
1.757,27,5.335863
1.793,23,5.442835
1.919,9,5.485846
1.901,11,5.537697
1.631,41,5.72708
-0.9,100,6.196141
1.937,7,6.23003
1.469,59,6.501613
-0.9,100,6.958712
-0.9,100,7.423421
1.937,7,7.457655
1.919,9,7.500695
1.937,7,7.534133
1.928,8,7.572173
1.946,6,7.601079
1.928,8,7.639216
1.955,5,7.663625
1.955,5,7.688077
1.937,7,7.72155
1.964,4,7.74139
1.91,10,7.788393
-0.9,100,8.244604
1.946,6,8.273516
1.919,9,8.31623
1.874,14,8.381746
1.811,21,8.480633
1.874,14,8.547655
1.919,9,8.591288
1.901,11,8.645771
1.883,13,8.707962
1.91,10,8.755527
1.937,7,8.788989
-0.9,100,9.246809
1.946,6,9.275742
1.964,4,9.295354
1.919,9,9.338062
-0.9,100,9.799579
1.946,6,9.829391
1.955,5,9.854106
-0.9,100,10.316469
1.928,8,10.354547
-0.9,100,10.813134
1.856,16,10.887825
1.46,60,11.171458
1.46,60,11.449193
1.64,40,11.63364
1.82,20,11.726809
1.496,56,11.985258
1.919,9,12.027854
1.559,49,12.255741
1.91,10,12.303815
1.874,14,12.371655
-0.9,100,12.830874
1.838,18,12.915153
1.892,12,12.971535
1.874,14,13.037135
1.883,13,13.098101
1.892,12,13.154402
1.892,12,13.210659
1.559,49,13.437317
1.883,13,13.498588
1.892,12,13.556023
1.919,9,13.600078
1.901,11,13.653972
1.874,14,13.7221
1.721,31,13.865967
1.928,8,13.904245
-0.9,100,14.359419
-0.9,100,14.819523
1.622,42,15.019108
1.937,7,15.052836
1.937,7,15.086374
1.964,4,15.106044
1.55,50,15.336095
-0.9,100,15.79561
1.937,7,15.829217
1.703,33,15.98258
-0.9,100,16.44412
-0.9,100,16.900416
-0.9,100,17.365114
1.955,5,17.390105
1.451,61,17.674054
1.928,8,17.712295
1.955,5,17.73668
1.946,6,17.765675
1.937,7,17.799168
1.847,17,17.878472
1.937,7,17.911994
1.955,5,17.936414
1.424,64,18.235832
1.883,13,18.296865
1.892,12,18.35321
1.892,12,18.409541
-0.9,100,18.873524
1.541,51,19.108845
1.874,14,19.174981
1.919,9,19.217548
1.901,11,19.26934
1.82,20,19.362453
1.892,12,19.418875
1.865,15,19.489086
-0.9,100,19.955853
1.919,9,19.999211
1.955,5,20.024006
1.955,5,20.048523
1.928,8,20.086579
1.919,9,20.129161
1.937,7,20.16271
1.919,9,20.205575
1.937,7,20.239589
1.559,49,20.465115
1.487,57,20.728214
1.712,32,20.875606
1.865,15,20.94588
1.793,23,21.054588
1.847,17,21.136109
-0.9,100,21.601079
1.919,9,21.644233
1.631,41,21.833408
1.676,36,22.00008
1.847,17,22.079273
-0.9,100,22.543952
1.901,11,22.596073
1.397,67,22.904456
1.91,10,22.951901
1.865,15,23.021931
1.793,23,23.128955
1.919,9,23.17168
1.946,6,23.20062
1.946,6,23.229446
1.946,6,23.258365
1.964,4,23.278002
-0.9,100,23.740407
-0.9,100,24.198023
-0.9,100,24.656028
1.847,17,24.735802
1.91,10,24.783389
1.757,27,24.910946
-0.9,100,25.372178
1.874,14,25.437838
1.685,35,25.598836
-0.9,100,26.060899
-0.9,100,26.523546
1.892,12,26.579885
1.91,10,26.63126
1.676,36,26.797849
-0.9,100,27.258678
1.712,32,27.408555
1.766,26,27.532081
-0.9,100,27.98959
-0.9,100,28.448668
1.505,55,28.706152
1.919,9,28.75137
-0.9,100,29.20953
1.676,36,29.37582
1.874,14,29.441313
1.892,12,29.497626
1.883,13,29.558485
1.865,15,29.629941
-0.9,100,30.094954
1.901,11,30.147074
1.586,46,30.359255
1.883,13,30.420329
1.955,5,30.444687
1.505,55,30.698266
1.919,9,30.740948
-0.9,100,31.203215
-0.9,100,31.667668
1.937,7,31.701228
1.928,8,31.73941
1.811,21,31.837603
-0.9,100,32.297253
1.919,9,32.340346
-0.9,100,32.803998
-0.9,100,33.262229
1.928,8,33.300581
1.946,6,33.329472
1.91,10,33.376731
1.64,40,33.563065
1.901,11,33.615455
-0.9,100,34.079826
1.892,12,34.136115
1.883,13,34.197609
-0.9,100,34.657804
1.613,43,34.857507
1.874,14,34.92407
1.901,11,34.977655
-0.9,100,35.44242
1.883,13,35.503348
1.892,12,35.559832
-0.9,100,36.019638
1.874,14,36.086674
1.919,9,36.129827
1.946,6,36.158993
1.658,38,36.338655
1.946,6,36.367938
