#{"t_start": 1674047802.714523, "env_id": null}
r,l,t
1.865,15,0.2202
-0.9,100,0.670708
1.901,11,0.721036
1.559,49,0.940942
1.91,10,0.987059
1.955,5,1.01096
1.595,45,1.214189
-0.9,100,1.668082
1.883,13,1.728961
1.613,43,1.923767
-0.9,100,2.373726
1.838,18,2.610504
1.964,4,2.629828
1.937,7,2.662617
1.946,6,2.691501
1.721,31,2.832723
1.91,10,2.880153
1.82,20,2.974158
1.937,7,3.007373
1.964,4,3.026947
1.748,28,3.154166
1.937,7,3.186798
1.946,6,3.215078
1.856,16,3.287866
1.496,56,3.539444
1.586,46,3.746506
-0.9,100,4.198639
-0.9,100,4.649177
1.64,40,4.829414
1.937,7,4.862087
1.757,27,4.984125
1.793,23,5.088525
1.919,9,5.130349
1.901,11,5.180993
1.595,45,5.387462
1.496,56,5.643455
1.937,7,5.676279
1.469,59,5.941141
-0.9,100,6.390583
-0.9,100,6.845412
1.937,7,6.87832
1.919,9,6.919925
1.937,7,6.952609
1.928,8,6.989848
1.946,6,7.018177
1.928,8,7.055264
1.955,5,7.079178
1.955,5,7.103004
1.937,7,7.135779
1.964,4,7.154975
1.91,10,7.201014
1.748,28,7.329023
1.946,6,7.35727
1.919,9,7.398879
1.874,14,7.463142
1.811,21,7.55862
1.874,14,7.622709
1.919,9,7.664616
1.901,11,7.715674
1.883,13,7.775921
1.91,10,7.822333
1.937,7,7.855175
-0.9,100,8.307754
1.946,6,8.336202
1.964,4,8.35534
1.919,9,8.397014
-0.9,100,8.84279
1.946,6,8.870992
1.955,5,8.894762
-0.9,100,9.349838
1.928,8,9.387462
-0.9,100,9.835495
1.856,16,9.908219
1.478,58,10.169075
1.46,60,10.443835
1.64,40,10.63055
1.82,20,10.721341
1.496,56,10.972939
1.919,9,11.014559
1.559,49,11.235368
1.91,10,11.281441
1.874,14,11.345495
-0.9,100,11.797657
1.838,18,11.880559
1.892,12,11.935489
1.874,14,11.999501
1.883,13,12.059021
1.892,12,12.114015
1.892,12,12.168948
1.559,49,12.390057
1.883,13,12.44965
1.892,12,12.504696
1.919,9,12.546356
1.901,11,12.597002
1.874,14,12.661091
1.721,31,12.801725
1.928,8,12.839411
-0.9,100,13.290319
-0.9,100,13.737083
1.622,42,13.926103
1.937,7,13.95885
1.937,7,13.991701
1.964,4,14.011367
1.55,50,14.241342
1.757,27,14.365797
1.937,7,14.398483
1.703,33,14.547192
-0.9,100,14.992849
-0.9,100,15.44287
-0.9,100,15.895477
1.955,5,15.919275
1.451,61,16.193006
1.928,8,16.230292
1.955,5,16.254146
1.946,6,16.282401
1.937,7,16.315106
1.847,17,16.392346
1.937,7,16.424997
1.955,5,16.448911
1.442,62,16.731598
1.883,13,16.793575
1.892,12,16.849604
1.892,12,16.904964
-0.9,100,17.350975
1.541,51,17.582355
1.874,14,17.646343
1.919,9,17.687965
1.901,11,17.738751
1.82,20,17.830488
1.892,12,17.885861
1.865,15,17.956158
1.442,62,18.239958
1.919,9,18.281513
1.955,5,18.305347
1.955,5,18.329177
1.928,8,18.366393
1.919,9,18.408021
1.937,7,18.440785
1.919,9,18.482604
1.937,7,18.515296
1.559,49,18.735654
1.487,57,18.99626
1.766,26,19.1162
1.865,15,19.188491
1.811,21,19.28746
1.847,17,19.36598
-0.9,100,19.815723
1.919,9,19.857404
1.631,41,20.042167
1.676,36,20.204562
1.847,17,20.281916
-0.9,100,20.73854
1.901,11,20.789061
1.397,67,21.089764
1.91,10,21.135938
1.865,15,21.204707
1.793,23,21.309004
1.919,9,21.350713
1.946,6,21.379026
1.946,6,21.407438
1.946,6,21.435687
1.964,4,21.454998
-0.9,100,21.905236
